Name,Price,Profession,Normalized
Esperanza Retro,5.49,Doctor,0.006864699795573278
Tracer Maverick Black,4.1,Healthcare,0.003356636297100168
Trust ClassicLine,10.06,Executive,0.018398404966812207
HP USB Slim Business Keyboard,20.68,"Engineer, Doctor",0.045201019609822576
Qoltec Wireless Touchpad,31.9,"Homemaker, Executive",0.07351790626656235
Gembird KBS-WM-03,18.9,"Executive, Engineer",0.04070867930242535
A4Tech KR-92,8.42,Healthcare,0.014259394795951846
Lenovo 510,44.9,Healthcare,0.10632713323069932
Natec Discus Black,7.31,"Doctor, Marketing",0.011457991570552455
Esperanza EK122K,18.69,Homemaker,0.04017868409762007
R-Horse RF-8801 Gold,18.4,Healthcare,0.03944678595765085
Element KB-590WMS Red,19.9,Executive,0.043232465991974355
KeySonic KSK-3023,49.8,Lawyer,0.11869368800948941
Microsoft Surface Pro 3 Type Cover Purple,59.9,Healthcare,0.1441839335739343
Logickeyboard Bmd Davinci Resolve - Astra Mac,144.0,"Doctor, Engineer",0.3564343941650051
Logickeyboard Premiere Pro CC - PC Astra,142.0,Lawyer,0.3513868207859071
Logickeyboard Edius - PC Astra,142.0,"Marketing, Engineer",0.3513868207859071
Logickeyboard Vegas Pro - PC Astra,144.0,"Marketing, Homemaker",0.3564343941650051
Logickeyboard Cinema 4D - PC Astra,144.0,"Healthcare, Entertainment",0.3564343941650051
Logickeyboard Pro Tools - PC Astra,144.0,Doctor,0.3564343941650051
Logickeyboard Final Cut Pro X - Mac Astra,144.0,"Executive, Entertainment",0.3564343941650051
Logickeyboard Cinema 4D - Mac Astra,144.0,Homemaker,0.3564343941650051
Canyon Ultra slim keyboard with side LED lights,14.5,Healthcare,0.02960401786840976
Dell KM714,55.0,Artist,0.1318173787951442
